4
 4 -1  0 -1
-1  4 -1  0
 0 -1  4 -1
-1  0 -1  4
 3  6  1  12

3
3 2 -1
2 -4 2
-1 1 5
8 -4 3

3
4 -2 1
1 -5 -2
2 1 6
2 -4 3

3
1 1 10
10 1 1
1 10 1
12 12 12

3
10 2 1
1 5 1 
2 3 10
7 -8 6

3
5 1 1 
3 4 1 
3 3 6 
6 13 0

4
1 0.5 -0.1 0.1
0.2 1 -0.2 -0.1
-0.1 -0.7 1 0.2
0.1 0.3 0.2 1
0.2 -2.6 1.0 -2.5

3
2 1 3
0 -1 1
1 0 3
9 1 3

3
1 0 3
0 -1 1
2 1 3
3 1 9

3
3 0 1
1 -1 0
3 1 2
3 1 9

3
5 2 2
1 3 1
0 6 8
3 -2 -6

3
5 1 1
3 4 1
3 3 6
5 6 0

3
1 3 1
5 2 2
0 6 8
-2 3 -6

3
20 2 6
1 -20 9
2 -7 -20
38 23 -57

3
10 2 6
1 -100 9
2 -7 -10
38 7 -17

4
2 -1 3 5
4 -1 10 8
6 -3 12 11
0 -2 -5 10
-7 4 4 -51

3
3 -4 1
1 2 2
4 0 -3
9 3 -2

3
1 4 52
27 110 -3
22 2 14
57 134 38

3
1 0.25 -0.05
0.1 1 -0.1
0 -0.2 1
1.2 2.9 1.6

3
30 3 0
2 20 2
6 3 30
-24 40 30

3
1 1 1
1 2 4
1 5 25
3 12 87
 
17
-3  0  0  1  3  0  0  0  0  0  0  0  0  0  0  0  0
-3  0 -1  0 -3  0  0  0  0  0  0  0  0  0  0  0  0
 0 -1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
 0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0 -1  0  0  0  1  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 -3 -1  0  0  3  1  0  0  0  0  0  0  0
 0  0  0  0  3  0  1  0  3  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0 -1 -3  0  0  1  3  0  0  0  0
 0  0  0  0  0  0  0  0 -3  0 -1  0 -3  0  0  0  0
 0  0  0  0  0  0  0  0  0 -1  0  0  0  1  0  0  0
 0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0 -1  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0 -1 -3  0
 0  0  0  0  0  0  0  0  0  0  0  0 -3 -1  0  0  1
 0  0  0  0  0  0  0  0  0  0  0  0  3  0  1  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 -3 -1
 0  0  0 10  0  0  0 15  0  0  0  0  0  0  0 10 0

